College Name,Address,Phone#,Website,Type,Degrees,Campus Type,Campus Housing,Student Pop,StudentsToTeachers,MissionStatement,Classification,SLOs,Religious Affiliation,Credits Accepted,Faculty(full-time),Faculty(part-time),Graduate Assistants,Tuition,Books/Supplies,Room/Board,Total Expenses,Undergraduate Avg Tuition (In-State),Undergraduate Avg Tuition (Out-of-State),Graduate Avg Tuition (In-State),Graduate Avg Tuition (Out-of-State),Avg Tuition,Avg Aid(grants),Gender Demographic(Male),Gender Demographic(Female),Ethnic Demographic (American Indian or Alaska Native),Ethnic Demographic (Asian),Ethnic Demographic(Black or African American),Ethnic Demographic(Hispanic/Latino),Ethnic Demographic(Native Hawaiian or other Pacific Islander),Ethnic Demographic(White),Ethnic Demographic(Two or more races),Ethnic Demographic(Unknown),Ethnic Demographic(Non-resident alien),Avg Student Age (24 and Under),Avg Student Age(25 and Over),Avg Student Residence (In-State),Avg Student Residence(Out-of-State),Avg Student Residence(Foreign Countries),Graduate Attendance Status(Full-time),Graduate Attendance Status(Part-time),Undergraduate Education Status (Remote),Undergraduate Education Status (In-Person),Graduate Education Status (Remote),Graduate Education Status (In-Person),Application Fee,Total Applicants,Percent Admitted,Percent Admitted Enrolled,Secondary School GPA,Secondary School Rank,Secondary School Record,Completion of College-Prep Program,Recommendation,SAT/ACT,TOEFL,Students Submitting Scores (SAT),Students Submitting Scores (ACT),SAT English 25th Percentile,SAT English 75th Percentile,SAT Math 25th percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,ACT English 25th Percentile,ACT English 75th Percentile,ACT Math 25th Percentile,ACT Math 75th Percentile,First-to-Second Year Retention Rate,Graduation Rate,Transfer Rate,Graduation Rate (Male),Graduation Rate (Female),Graduation Rate by Race/Ethnicity(American Indian or Alaska Native),Graduation Rate by Race/Ethnicity(Asian),Graduation Rate by Race/Ethnicity(Black or African American),Graduation Rate by Race/Ethnicity(Hispanic/Latino),Graduation Rate by Race/Ethnicity(Native Hawaiian or other Pacific Islander),Graduation Rate by Race/Ethnicity(White),Graduation Rate by Race/Ethnicity(Two or more Races),Graduation Rate by Race/Ethnicity(Race/Ethnicity Unknown),Graduation Rate by Race/Ethnicity(Non-resident Alien),Murder/Non-negligent Manslaughter,Negligent Manslaughter,Rape,Fondling,Incest,Statutory Rape,Robbery,Aggravated Assault,Burglary,Motor Vehicle Theft,Arson,Domestic Violence,Dating Violence,Stalking,Weapons Arrests,Drug Abuse Arrests,Liquor Law Violation Arrests,Weapons Disciplinary Action,Drug Abuse Disciplinary Action,Liquor Law Violation Disciplinary Action,Programs
Bishop State Community College,"351 North Broad Street, Mobile, Alabama 36603-5898",(251) 405-7000,www.bishop.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",City: Midsize,No,"2,479 (all undergraduate)",15 to 1,www.bishop.edu/about-us/vision-and-mission/,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",57,83,n/a,n/a,"$2,000","$6,150","$16,010","$4,860","$8,550",n/a,n/a,n/a,"$6,924",33%,67%,1%,1%,63%,3%,0%,25%,3%,3%,2%,65%,35%,94%,6%,0%,n/a,n/a,54%,46%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58%,28%,27%,36%,19%,14%,20%,27%,15%,n/a,31%,43%,100%,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Cliff Career College,"2970 Cottage Hill Rd., Suite 175, Mobile, Alabama 36606",(251) 473-2220,www.blue.edu/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",City: Midsize,No,25 (all undergraduate),17 to 1,blue.edu/about/,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",5,3,n/a,n/a,"$1,800","$14,713",-1.7%,n/a,n/a,n/a,n/a,n/a,"$5,868",8%,92%,0%,4%,28%,0%,4%,64%,0%,0%,0%,36%,60%,91%,0%,0%,n/a,n/a,0%,100%,n/a,n/a,$100,19,89%,88%,Considered but not required,Considered but not required,Required,Considered but not required,Considered but not required,Considered but not required,Considered but not required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,64%,60%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Beauty Barber School,"1724 1st Avenue North, Bessemer, Alabama 35020-5016",(205) 424-4247,brownbeautybarberschool.edu/,"< 2-year, Private for-profit","Less than one year certificate
,One but less than two years certificate",Suburb: Large,No,48 (all undergraduate),16 to 1,"Brown Beauty Barber School’s mission is to provide a conscientious educational program of academic studies in the tradition of the Cosmetology, Barbering,Instructor Training,MakeUp arts and sciences.We instill in our students a challenge for intellectual excellence,professionalism,self improvement,and dedication to public service.The school environment encourages and prepares students to become leaders and a credit to their profession by development of self worth,intellectual curiosity and mastery of skills and techniques.Our objective is to train each student the skills necessary to be a successful,competent Cosmetologist,Barber,Instructor or MakeUp Artist. Instruction takes place through a combination of theory class,practical work,clinic experience,group and individual activities.At the completion of our program, the student is prepared to enter the beauty profession and continue to grow and develop and make contribution to the profession.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",3,0,n/a,n/a,"$3,000","$21,392",4.9%,n/a,n/a,n/a,n/a,n/a,"$5,525",25%,75%,0%,0%,90%,0%,0%,10%,0%,0%,0%,56%,44%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a,"Undergraduate application fee (2021-2022): $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,75%,55%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiac and Vascular Institute of Ultrasound,"2936 North McVay Drive, Mobile, Alabama 36606",(251) 433-1600,www.ultrasound.edu/,"2-year, Private for-profit","One but less than two years certificate
,Two but less than 4 years certificate",City: Midsize,No,54 (all undergraduate),14 to 1,"Our mission is to provide excellent educational opportunities, resources, and clinical experiences to meet the requirements of all students pursuing a career and certification in cardiovascular ultrasound diagnostics. CVIU sets high academic standards for its students and ensures students have a thorough understanding of the ultrasound principles, technology, and competency skills needed to confidently pursue a career in cardiovascular ultrasound. The didactic components are integrated with the practical application of ultrasound sonography through scanning labs and on-site application of the knowledge and competencies learned in the classroom. Any student completing any CVIU program will possess complete confidence in pursuing a career in ultrasound sonography. The goals of our faculty, staff, and clinical supervisors are twofold: first, to thoroughly train sonographers for entry-level positions, and second, to prepare students to successfully complete the Registry (certification) with either the American Registry of Diagnostic Medical Sonographers (ARDMS) or Cardiovascular Credentialing International (CCI). Faculty and staff emphasize “personalized attention” to ensure the success of CVIU students in fulfilling both these objectives.","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",2,2,n/a,"$17,980",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"$5,615",24%,76%,2%,6%,7%,0%,0%,85%,0%,0%,0%,46%,54%,n/a,n/a,n/a,n/a,n/a,0%,100%,n/a,n/a,open admission policy contact institution for more information,"This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.","This institution does not admit full-time first-time degree/certificate-seeking students, therefore admission information was not reported.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Alabama Community College,"1675 Cherokee Rd, Alexander City, Alabama 35010",(256) 234-6346,www.cacc.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Distant,No,"1,578 (all undergraduate)",15 to 1,"Central Alabama Community College promotes student success in comprehensive and diverse academic and career learning environments to advance quality of life through economic, community, and workforce development.",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,"Distance education – undergraduate courses offered, programs not offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",41,63,n/a,n/a,"$1,000","$10,238","$20,528","$4,930","$8,620",n/a,n/a,n/a,"$5,626",41%,59%,0%,0%,16%,3%,0%,75%,3%,2%,0%,84%,16%,96%,2%,0%,n/a,n/a,56%,44%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,64%,22%,23%,24%,20%,n/a,0%,25%,50%,n/a,20%,67%,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattahoochee Valley Community College,"2602 College Drive, Phenix City, Alabama 36869",(334) 291-4900,www.cv.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Rural: Fringe,No,"1,360 (all undergraduate)",12 to 1,Chattahoochee Valley Community College promotes student success and is committed to enriching our community by offering accessible quality and engaging educational opportunities through academic transfer career and technical education workforce development and adult education.,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,"Dual credit,Advanced placement (AP) credits",40,91,n/a,n/a,$800,"$5,500","$12,236","$3,936","$7,128",n/a,n/a,n/a,"$7,038",35%,65%,0%,1%,45%,7%,0%,36%,6%,5%,0%,67%,33%,78%,22%,0%,n/a,n/a,55%,45%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60%,16%,27%,14%,17%,n/a,100%,14%,12%,n/a,17%,40%,0%,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coastal Alabama Community College,"1900 U S Highway 31 South, Bay Minette, Alabama 36507-2698",(251) 580-2100,www.coastalalabama.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Distant,Yes,"7,048 (all undergraduate)",16 to 1,www.coastalalabama.edu/about/goals-and-values/,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,"Distance education – undergraduate programs offered,Study abroad",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",168,282,n/a,n/a,"$1,500","$5,900","$16,667","$4,860","$8,850",n/a,n/a,n/a,"$6,522",42%,58%,1%,1%,23%,4%,0%,64%,4%,2%,0%,78%,22%,91%,7%,0%,n/a,n/a,60%,40%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,63%,25%,22%,26%,25%,47%,18%,22%,25%,0%,26%,32%,10%,n/a,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,9,0
Columbia Southern University,All programs offered completely via Distance education,(251) 981-3771 x1278,www.columbiasouthern.edu/,"4-year, Private for-profit","Less than one year certificate
,Associate's degree
,Bachelor's degree
,Postbaccalaureate certificate
,Master's degree
,Doctor's degree - research/scholarship",Town: Fringe,No,"16,412 (11,672 undergraduate)",31 to 1,www.columbiasouthern.edu/about-csu/about-csu,Master's Colleges & Universities: Larger Programs,"Distance education – undergraduate programs offered,Distance education – graduate programs offered",Not applicable,Advanced placement (AP) credits,307,316,0,"$3,900",$616,"$7,592",7.7%,n/a,n/a,n/a,n/a,n/a,"$3,123",65%,35%,1%,2%,15%,2%,1%,60%,2%,17%,0%,9%,91%,9%,88%,1%,100%,0%,100%,0%,100%,0%,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40%,33%,2%,27%,20%,40%,0%,17%,30%,50%,26%,13%,24%,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterprise State Community College,"600 Plaza Drive, Enterprise, Alabama 36330-1300",(334) 347-2623,www.escc.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",Town: Distant,No,"1,796 (all undergraduate)",16 to 1,"The mission of Enterprise State Community College, including the Alabama Aviation College, is to improve our communities by providing students with excellent opportunities to further their education and enter the workforce.",Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,"Distance education – undergraduate programs offered,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",57,80,n/a,n/a,$950,"$5,400","$13,906","$4,860","$8,550",n/a,n/a,n/a,"$6,434",53%,47%,1%,1%,17%,6%,0%,63%,5%,6%,1%,78%,22%,95%,4%,0%,n/a,n/a,57%,44%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,66%,30%,28%,29%,31%,0%,30%,28%,32%,n/a,30%,36%,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faulkner University,"5345 Atlanta Hwy, Montgomery, Alabama 36109-3390",(334) 272-5820,www.faulkner.edu/,"4-year, Private not-for-profit","Associate's degree
,Bachelor's degree
,Master's degree
,Doctor's degree - research/scholarship
,Doctor's degree - professional practice",City: Midsize,Yes,"2,874 (1,922 undergraduate)",13 to 1,www.faulkner.edu/about-faulkner/mission-and-values/,Master's Colleges & Universities: Larger Programs,"ROTC (Army, Air Force),Teacher certification,Distance education – undergraduate programs offered,Distance education – graduate programs offered,Study abroad,Weekend/evening college",Churches of Christ,"Dual credit,Advanced placement (AP) credits",129,122,1,"$10,374","$1,800","$7,900",0.8%,n/a,n/a,n/a,n/a,n/a,"$17,008",43%,57%,0%,1%,38%,3%,5%,44%,3%,2%,3%,57%,43%,74%,24%,3%,78%,22%,53%,47%,57%,43%,$25,"1,791",65%,20%,Required,Recommended,Required,Considered but not required,Considered but not required,Considered but not required,Recommended,12%,59%,500,600,490,605,16,23,16,23,16,22,64%,19%,12%,15%,19%,n/a,25%,12%,0%,33%,18%,33%,25%,57%,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,10,7
Fortis College,"7033 Airport Blvd., Mobile, Alabama 36608",(251) 344-1203 x3111,www.fortis.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,301 (all undergraduate),22 to 1,www.fortis.edu,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",3,34,n/a,n/a,$871,"$10,350",14.2%,n/a,n/a,n/a,n/a,n/a,"$5,632",19%,81%,1%,0%,62%,1%,0%,28%,3%,4%,0%,65%,35%,99%,1%,0%,n/a,n/a,0%,100%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35%,56%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortis College-Dothan,"200 Vulcan Way, Dothan, Alabama 36303",(334) 677-2832,www.fortiscollege.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,141 (all undergraduate),24 to 1,MISSION AND PURPOSES Fortis College provides postsecondary career education to both traditional and nontraditional students through a variety of diploma programs that assist adult students in enhancing their career opportunities and improving problem-solving abilities. Fortis College strives to develop within its students the desire for lifelong and continued education. The staff of Fortis College believes that they make an important contribution to the economic growth and social well-being of the area. Fortis College educates its students to help meet the economic needs of their community in entry-level positions. The educational process is a change-oriented approach to education that provides the community with graduates who possess the skills and knowledge needed to succeed in existing and emerging career occupations.,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",3,8,n/a,n/a,$636,"$5,895",9.0%,n/a,n/a,n/a,n/a,n/a,"$5,294",22%,78%,0%,1%,72%,1%,0%,25%,0%,0%,0%,42%,58%,92%,8%,0%,n/a,n/a,0%,100%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,52%,52%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortis College-Foley,"200 East Laurel Avenue, Foley, Alabama 36535",(251) 970-1460,www.fortis.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Fringe,No,89 (all undergraduate),22 to 1,www.fortis.edu,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Weekend/evening college,Not applicable,"Institution does not accept dual, credit for life, or AP credits",2,6,n/a,n/a,$636,"$10,107",14.4%,n/a,n/a,n/a,n/a,n/a,"$5,030",35%,65%,0%,0%,27%,6%,0%,60%,4%,3%,0%,51%,49%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50%,58%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortis College-Montgomery,"3736 Atlanta Hwy, Montgomery, Alabama 36109",(334) 272-3857,www.fortiscollege.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,264 (all undergraduate),26 to 1,www.fortis.edu/our-difference/core-values.html,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",None,Not applicable,"Institution does not accept dual, credit for life, or AP credits",6,12,n/a,n/a,$871,"$7,650",4.7%,n/a,n/a,n/a,n/a,n/a,"$5,789",23%,77%,0%,0%,89%,2%,0%,9%,0%,0%,0%,64%,36%,100%,0%,0%,n/a,n/a,0%,100%,n/a,n/a,"Undergraduate application fee (2021-2022): $100
This institution has an open admission policy. Contact the institution for more information.",open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32%,60%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortis Institute-Birmingham,"100 London Pkwy, Birmingham, Alabama 35211",(205) 940-7800 x4911,www.fortis.edu/,"2-year, Private for-profit","One but less than two years certificate
,Associate's degree",City: Midsize,No,539 (all undergraduate),22 to 1,Fortis Institute provides postsecondary career education to both traditional and nontraditional students through a variety of diploma and degree programs that assist adult students in enhancing their career opportunities and improving problem- solving abilities. Fortis College strives to develop within its students the desire for lifelong and continued education. The staff at Fortis College believes that they make an important contribution to the economic growth and social well-being of the area. Fortis College educates its students to help meet the economic needs of their community in entry-level positions. The educational process is a change-oriented approach to education that provides the community with graduates who possess the skills and knowledge needed to succeed in existing and emerging career occupations.,Special Focus Two-Year: Health Professions,"Distance education – undergraduate courses offered, programs not offered,Weekend/evening college",Not applicable,"Institution does not accept dual, credit for life, or AP credits",15,26,n/a,n/a,"$1,237","$10,980",17.3%,n/a,n/a,n/a,n/a,n/a,"$6,255",29%,71%,0%,1%,83%,2%,0%,11%,2%,1%,0%,47%,53%,98%,2%,0%,n/a,n/a,48%,52%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,29%,58%,n/a,61%,55%,n/a,n/a,53%,57%,n/a,77%,100%,100%,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadsden State Community College,"1001 George Wallace Dr, Gadsden, Alabama 35903",(256) 549-8200,www.gadsdenstate.edu/,"2-year, Public","Less than one year certificate
,One but less than two years certificate
,Associate's degree",City: Small,Yes,"4,308 (all undergraduate)",15 to 1,"Gadsden State Community College prepares students from all backgrounds for success through quality education, innovative workforce development, and inclusive community and global engagement.",Associate's Colleges: High Career & Technical-High Traditional,"Distance education – undergraduate programs offered,Study abroad,Weekend/evening college",Not applicable,"Dual credit,Credit for life experiences,Advanced placement (AP) credits",125,128,n/a,n/a,"$1,600","$4,800","$12,660","$3,936","$6,888",n/a,n/a,n/a,"$5,568",40%,60%,0%,1%,18%,6%,0%,71%,3%,1%,1%,67%,33%,97%,1%,0%,n/a,n/a,65%,35%,n/a,n/a,This institution has an open admission policy. Contact the institution for more information.,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,open admission policy contact institution for more information,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59%,27%,4%,31%,24%,29%,50%,19%,34%,n/a,29%,13%,0%,43%,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1
